run dir   /home/theo/cadex-jobs/stand-task-20260802-200109
task      /home/theo/cadex-jobs/stand-task-20260802-200109/stand-task.json
          sha256 21fe4171a5499258379e20e04a091fd33c8e1a04b5f2d19acb27264140a7f235
model     /home/theo/cadex-jobs/stand-task-20260802-200109/model-model.xml
          sha256 e3511559eeb3d5ab3a369852a6c7d7e5fcfc256a259f1f4f41284ffb2cef0ae1  (matches the bundle's own)
seeds     12  (0…11)   budget 600 steps
motors    10 × ±86 N·mm
wall      5.8 s

same-file-twice (ADR-103 §9)  stand8.best.cxpolicy  24 episodes, one worker
  PASS — the evaluator reloads the model per episode and its rows do not drift.

survival, and what it cost   (trainer r/s is what the trainer recorded; every other column is measured here)
  checkpoint                 iter    surv  steps µ   med    tilt    drift    reward  train r/s  termination mix
  stand8.002450.cxpolicy     2449   4/12     277.8   138   0.108    111.2      44.5    +0.1499  survived:4 tipped:8
  stand8.cxpolicy            2499   6/12     347.8   370   0.081    113.5      60.9    +0.1461  survived:6 tipped:6
  tilt is the task's own `tipped` expression on the last observation; it terminates above 0.15.
  drift is the task's own `drift` reward expression, in mm, evaluated through compile_reward.

peak torque per motor, N·mm   (the worst instant any of the seeds saw)
  checkpoint               hip_ro hip_ro hip_pi hip_pi knee_l knee_r ankle_ ankle_ ankle_ ankle_
  limit N·mm                   86     86     86     86     86     86     86     86     86     86
  stand8.000050.cxpolicy     61.0   59.8   53.0   51.4   15.2   14.5   43.6   41.7   43.6   56.7
  stand8.000100.cxpolicy     68.1   73.7   37.8   27.5   37.0   33.3   69.9   66.9   53.2   64.8
  stand8.000150.cxpolicy     70.7   72.3   54.1   56.4   44.4   49.9   73.7   76.1   59.3   72.1
  stand8.000200.cxpolicy     74.1   71.5   54.0   59.8   60.6   55.3   77.2   79.0   60.3   74.2
  stand8.000250.cxpolicy     71.6   67.5   56.4   70.1   58.7   51.7   78.3   82.7   64.0   74.4
  stand8.000300.cxpolicy     77.4   71.7   65.5   71.1   54.3   49.3   79.1   83.3   67.1   74.7
  stand8.000350.cxpolicy     79.8   76.4   68.2   74.4   67.2   52.6   82.6   84.1   65.5   78.6
  stand8.000400.cxpolicy     80.4   75.5   67.1   71.2   70.6   50.4   83.1   84.7   67.0   78.9
  stand8.000450.cxpolicy     80.5   77.4   68.3   73.3   58.0   60.3   83.1   85.1   64.2   79.9
  stand8.000500.cxpolicy     79.1   79.6   67.4   71.0   68.9   66.0   83.9   84.9   60.6   79.9
  stand8.000550.cxpolicy     81.2   79.6   71.3   73.9   67.2   71.5   83.7   85.2   60.5   80.5
  stand8.best.cxpolicy       81.7   79.9   69.9   73.6   72.4   67.5   84.3   85.2   62.2   79.6
  stand8.000600.cxpolicy     81.7   79.8   70.2   74.2   72.3   67.4   84.3   85.2   61.1   79.6
  stand8.000650.cxpolicy     80.3   81.1   71.7   74.6   76.0   74.8   85.1   85.4   62.9   80.0
  stand8.000700.cxpolicy     83.1   80.9   71.0   78.5   76.8   81.0   85.4   85.6   65.7   77.8
  stand8.000750.cxpolicy     78.8   81.5   76.5   80.7   76.6   82.9   85.8   85.7   67.5   77.8
  stand8.000800.cxpolicy     81.5   80.7   77.4   81.6   76.3   82.0   85.8   85.7   68.1   79.5
  stand8.000850.cxpolicy     81.3   82.0   75.1   79.8   81.3   84.5   85.9   85.8   74.2   80.1
  stand8.000900.cxpolicy     81.9   81.6   77.5   80.5   83.4   84.8   85.9   85.8   73.5   81.9
  stand8.000950.cxpolicy     80.5   83.2   79.5   79.5   84.1   83.9   85.9   85.9   71.2   81.9
  stand8.001000.cxpolicy     82.5   83.0   77.5   77.9   85.0   84.3   85.9   85.9   72.0   82.2
  stand8.001050.cxpolicy     82.4   83.3   76.9   75.9   85.4   84.5   85.9   85.9   70.8   81.6
  stand8.001100.cxpolicy     83.6   84.4   75.6   77.8   85.6   85.1   85.9   85.9   70.9   81.9
  stand8.001150.cxpolicy     84.7   84.4   79.9   77.1   85.7   85.0   85.9   85.9   74.8   82.0
  stand8.001200.cxpolicy     84.7   84.8   78.8   78.2   85.8   85.4   85.9   85.9   75.7   81.8
  stand8.001250.cxpolicy     84.9   85.0   80.1   81.1   85.8   85.2   85.9   86.0   72.1   83.1
  stand8.001300.cxpolicy     84.0   84.9   79.5   80.2   85.7   85.6   85.9   86.0   74.2   82.3
  stand8.001350.cxpolicy     83.0   85.2   77.7   80.2   85.8   85.6   85.9   86.0   73.7   82.5
  stand8.001400.cxpolicy     83.4   85.4   78.4   80.2   85.7   85.7   85.9   86.0   77.1   81.8
  stand8.001450.cxpolicy     84.2   85.3   78.5   78.9   85.9   85.8   85.9   86.0   77.1   82.0
  stand8.001500.cxpolicy     85.0   85.3   79.2   77.9   85.8   85.8   85.9   86.0   77.0   81.9
  stand8.001550.cxpolicy     85.0   85.5   78.7   79.3   85.8   85.9   86.0   86.0   76.9   82.2
  stand8.001600.cxpolicy     83.4   85.3   78.7   81.2   85.7   85.9   86.0   86.0   76.4   82.7
  stand8.001650.cxpolicy     83.5   85.2   78.7   81.1   85.7   85.8   86.0   86.0   74.7   82.4
  stand8.001700.cxpolicy     83.7   85.1   79.1   81.3   85.7   85.9   86.0   86.0   76.1   81.7
  stand8.001750.cxpolicy     84.7   85.3   77.2   81.6   85.8   85.9   86.0   86.0   79.1   82.8
  stand8.001800.cxpolicy     84.5   85.4   79.1   82.4   85.8   85.9   86.0   86.0   77.6   83.6
  stand8.001850.cxpolicy     84.8   85.6   79.8   82.7   85.8   85.9   86.0   86.0   78.8   83.7
  stand8.001900.cxpolicy     84.9   85.7   79.0   81.2   85.8   85.9   86.0   86.0   73.7   83.5
  stand8.001950.cxpolicy     84.8   85.6   79.5   81.9   85.8   85.9   86.0   86.0   73.6   83.3
  stand8.002000.cxpolicy     85.0   85.3   77.7   82.0   85.9   85.9   86.0   86.0   75.3   83.7
  stand8.002050.cxpolicy     85.1   85.4   80.2   83.0   85.9   86.0   86.0   86.0   76.7   83.2
  stand8.002100.cxpolicy     85.4   85.5   78.7   82.0   85.9   86.0   86.0   86.0   75.8   83.6
  stand8.002150.cxpolicy     85.7   85.7   80.9   82.0   86.0   86.0   86.0   86.0   76.3   83.5
  stand8.002200.cxpolicy     85.7   85.8   80.0   82.0   85.7   85.9   86.0   86.0   76.5   83.6
  stand8.002250.cxpolicy     85.7   85.9   77.7   82.4   85.9   86.0   86.0   86.0   72.6   83.8
  stand8.002300.cxpolicy     85.8   85.9   81.6   83.0   85.9   85.9   86.0   86.0   73.0   84.1
  stand8.002350.cxpolicy     85.9   85.9   79.6   82.0   85.9   86.0   86.0   86.0   72.6   83.8
  stand8.002400.cxpolicy     85.9   85.9   77.9   82.0   85.9   86.0   86.0   86.0   72.5   83.8
  stand8.002450.cxpolicy     85.9   85.9   79.1   82.2   85.9   86.0   86.0   86.0   73.9   83.8
  stand8.cxpolicy            85.9   86.0   79.5   82.7   86.0   86.0   86.0   86.0   71.2   84.0

mean |torque| per motor, N·mm   (averaged over frames, then over episodes)
  checkpoint               hip_ro hip_ro hip_pi hip_pi knee_l knee_r ankle_ ankle_ ankle_ ankle_
  limit N·mm                   86     86     86     86     86     86     86     86     86     86
  stand8.000050.cxpolicy     15.2   17.2   25.1   21.8    5.6    4.0   13.7   12.0   14.5   17.9
  stand8.000100.cxpolicy     17.3   18.6    7.0    6.4   23.1   21.0   15.3   15.9   24.0   19.4
  stand8.000150.cxpolicy     14.2   17.8    7.8    8.1   22.3   15.7   14.2   16.1   15.3   17.2
  stand8.000200.cxpolicy     15.8   20.1   11.3   10.4   22.1   16.8   15.9   18.4   15.9   17.0
  stand8.000250.cxpolicy     16.7   19.9   10.8   15.6   24.6   12.6   17.8   19.8   15.7   16.8
  stand8.000300.cxpolicy     17.1   18.1   12.4   12.6   22.5    9.7   15.4   18.6   15.1   17.1
  stand8.000350.cxpolicy     17.7   18.8   10.7   14.0   21.5    8.5   17.6   22.6   16.8   17.6
  stand8.000400.cxpolicy     17.0   17.7   10.7   11.0   15.6    9.1   18.7   21.6   16.2   19.4
  stand8.000450.cxpolicy     18.5   17.3   11.0   12.4   13.1   10.5   17.9   22.1   15.6   20.8
  stand8.000500.cxpolicy     18.6   19.6   13.8   16.0   14.8   11.8   19.2   23.3   15.2   20.5
  stand8.000550.cxpolicy     19.0   19.5   15.7   20.0   15.0   18.8   23.0   29.0   16.5   20.8
  stand8.best.cxpolicy       21.3   19.5   18.9   22.6   18.0   20.2   28.4   32.6   15.9   21.2
  stand8.000600.cxpolicy     21.1   19.2   18.0   22.2   17.8   19.8   27.4   32.4   15.7   21.5
  stand8.000650.cxpolicy     23.4   22.0   23.9   30.3   26.0   30.3   38.4   44.9   15.4   21.2
  stand8.000700.cxpolicy     30.9   24.7   24.5   35.0   25.7   36.7   45.6   52.5   18.2   20.6
  stand8.000750.cxpolicy     31.4   24.9   25.0   35.3   27.8   39.1   48.3   56.5   16.8   19.3
  stand8.000800.cxpolicy     32.3   26.4   23.7   39.7   28.9   41.2   49.0   56.5   19.9   22.1
  stand8.000850.cxpolicy     32.1   30.0   23.8   38.7   31.7   45.4   50.5   57.9   21.0   21.4
  stand8.000900.cxpolicy     34.2   34.1   23.8   39.6   38.0   45.8   55.1   60.9   24.4   21.9
  stand8.000950.cxpolicy     33.0   36.5   21.6   36.9   40.8   45.7   57.1   63.6   23.3   21.1
  stand8.001000.cxpolicy     36.5   38.6   24.5   33.9   44.7   44.7   58.6   65.5   23.2   21.0
  stand8.001050.cxpolicy     39.8   40.4   24.6   29.7   50.2   45.4   59.3   66.1   25.5   22.8
  stand8.001100.cxpolicy     41.9   46.2   26.8   27.4   54.4   46.3   58.6   65.8   24.9   29.4
  stand8.001150.cxpolicy     49.0   45.3   27.0   27.2   56.5   49.4   60.4   67.9   28.2   31.5
  stand8.001200.cxpolicy     45.0   48.5   28.7   27.8   57.1   49.0   63.2   66.1   27.7   33.7
  stand8.001250.cxpolicy     43.1   51.5   28.4   30.0   54.4   46.9   61.3   66.4   26.4   34.5
  stand8.001300.cxpolicy     38.7   45.0   30.4   31.2   54.7   50.5   60.8   67.4   24.7   36.2
  stand8.001350.cxpolicy     38.6   42.7   31.3   31.6   54.7   51.9   60.8   64.7   25.7   35.6
  stand8.001400.cxpolicy     38.8   43.7   32.9   32.4   53.8   52.5   61.3   64.2   26.0   34.0
  stand8.001450.cxpolicy     40.4   43.5   29.2   29.6   56.4   53.9   64.1   65.7   27.6   33.8
  stand8.001500.cxpolicy     33.2   44.3   30.6   29.4   52.6   53.1   62.3   66.0   24.9   30.7
  stand8.001550.cxpolicy     35.5   47.2   32.5   31.6   55.3   53.2   65.2   66.3   27.1   36.6
  stand8.001600.cxpolicy     35.5   47.2   37.0   37.4   54.1   56.3   63.1   62.5   23.9   36.0
  stand8.001650.cxpolicy     35.1   43.2   36.6   37.5   51.8   56.8   62.4   62.4   23.3   33.8
  stand8.001700.cxpolicy     33.7   43.6   30.9   31.3   50.2   55.4   60.9   63.1   28.2   32.9
  stand8.001750.cxpolicy     35.2   49.0   27.8   30.6   56.4   58.2   65.1   69.2   30.0   39.7
  stand8.001800.cxpolicy     36.0   48.1   29.5   31.2   51.5   56.7   61.2   66.5   28.1   37.0
  stand8.001850.cxpolicy     37.6   44.7   33.1   36.4   51.3   58.7   62.9   64.8   26.1   37.0
  stand8.001900.cxpolicy     38.0   42.3   35.0   37.6   51.0   59.1   62.2   62.0   24.5   37.1
  stand8.001950.cxpolicy     42.5   46.2   33.6   36.6   50.8   56.4   58.2   60.4   21.9   33.1
  stand8.002000.cxpolicy     48.1   50.0   36.8   40.4   53.1   58.3   57.1   58.0   22.5   33.6
  stand8.002050.cxpolicy     47.4   48.6   38.0   41.5   53.9   58.6   59.5   57.4   24.0   34.4
  stand8.002100.cxpolicy     50.6   52.5   39.8   44.2   56.5   60.1   59.7   55.5   23.5   33.0
