run dir   /home/theo/cadex-jobs/stand-task-20260802-200109
task      /home/theo/cadex-jobs/stand-task-20260802-200109/stand-task.json
          sha256 21fe4171a5499258379e20e04a091fd33c8e1a04b5f2d19acb27264140a7f235
model     /home/theo/cadex-jobs/stand-task-20260802-200109/model-model.xml
          sha256 e3511559eeb3d5ab3a369852a6c7d7e5fcfc256a259f1f4f41284ffb2cef0ae1  (matches the bundle's own)
seeds     12  (0…11)   budget 600 steps
motors    10 × ±86 N·mm
wall      5.8 s

same-file-twice (ADR-103 §9)  stand8.best.cxpolicy  24 episodes, one worker
  PASS — the evaluator reloads the model per episode and its rows do not drift.

survival, and what it cost   (trainer r/s is what the trainer recorded; every other column is measured here)
  checkpoint                 iter    surv  steps µ   med    tilt    drift    reward  train r/s  termination mix
  stand8.001150.cxpolicy   hazard 15: a motor is above 90% of its limit on 56% of frames
  stand8.001150.cxpolicy   hazard 15: a motor's MEAN command is 79% of its limit
  stand8.001200.cxpolicy   hazard 15: a motor is above 90% of its limit on 51% of frames
  stand8.001200.cxpolicy   hazard 15: a motor's MEAN command is 77% of its limit
  stand8.001250.cxpolicy   hazard 15: a motor is above 90% of its limit on 51% of frames
  stand8.001250.cxpolicy   hazard 15: a motor's MEAN command is 77% of its limit
  stand8.001300.cxpolicy   hazard 15: a motor is above 90% of its limit on 51% of frames
  stand8.001300.cxpolicy   hazard 15: a motor's MEAN command is 78% of its limit
  stand8.001350.cxpolicy   hazard 15: a motor is above 90% of its limit on 49% of frames
  stand8.001350.cxpolicy   hazard 15: a motor's MEAN command is 75% of its limit
  stand8.001400.cxpolicy   hazard 15: a motor is above 90% of its limit on 46% of frames
  stand8.001400.cxpolicy   hazard 15: a motor's MEAN command is 75% of its limit
  stand8.001450.cxpolicy   hazard 15: a motor is above 90% of its limit on 52% of frames
  stand8.001450.cxpolicy   hazard 15: a motor's MEAN command is 76% of its limit
  stand8.001500.cxpolicy   hazard 15: a motor is above 90% of its limit on 51% of frames
  stand8.001500.cxpolicy   hazard 15: a motor's MEAN command is 77% of its limit
  stand8.001550.cxpolicy   hazard 15: a motor is above 90% of its limit on 52% of frames
  stand8.001550.cxpolicy   hazard 15: a motor's MEAN command is 77% of its limit
  stand8.001600.cxpolicy   hazard 15: a motor is above 90% of its limit on 44% of frames
  stand8.001600.cxpolicy   hazard 15: a motor's MEAN command is 73% of its limit
  stand8.001650.cxpolicy   hazard 15: a motor is above 90% of its limit on 43% of frames
  stand8.001650.cxpolicy   hazard 15: a motor's MEAN command is 73% of its limit
  stand8.001700.cxpolicy   hazard 15: a motor is above 90% of its limit on 47% of frames
  stand8.001700.cxpolicy   hazard 15: a motor's MEAN command is 73% of its limit
  stand8.001750.cxpolicy   hazard 15: a motor is above 90% of its limit on 59% of frames
  stand8.001750.cxpolicy   hazard 15: a motor's MEAN command is 81% of its limit
  stand8.001800.cxpolicy   hazard 15: a motor is above 90% of its limit on 53% of frames
  stand8.001800.cxpolicy   hazard 15: a motor's MEAN command is 77% of its limit
  stand8.001850.cxpolicy   hazard 15: a motor is above 90% of its limit on 49% of frames
  stand8.001850.cxpolicy   hazard 15: a motor's MEAN command is 75% of its limit
  stand8.001900.cxpolicy   hazard 15: a motor is above 90% of its limit on 44% of frames
  stand8.001900.cxpolicy   hazard 15: a motor's MEAN command is 72% of its limit
  stand8.001950.cxpolicy   hazard 15: a motor is above 90% of its limit on 40% of frames
  stand8.001950.cxpolicy   hazard 15: a motor's MEAN command is 70% of its limit
  stand8.002000.cxpolicy   hazard 15: a motor is above 90% of its limit on 36% of frames
  stand8.002000.cxpolicy   hazard 15: a motor's MEAN command is 68% of its limit
  stand8.002050.cxpolicy   hazard 15: a motor is above 90% of its limit on 37% of frames
  stand8.002050.cxpolicy   hazard 15: a motor's MEAN command is 69% of its limit
  stand8.002100.cxpolicy   hazard 15: a motor is above 90% of its limit on 40% of frames
  stand8.002100.cxpolicy   hazard 15: a motor's MEAN command is 70% of its limit
  stand8.002150.cxpolicy   hazard 15: a motor is above 90% of its limit on 43% of frames
  stand8.002150.cxpolicy   hazard 15: a motor's MEAN command is 72% of its limit
  stand8.002200.cxpolicy   hazard 15: a motor is above 90% of its limit on 52% of frames
  stand8.002200.cxpolicy   hazard 15: a motor's MEAN command is 77% of its limit
  stand8.002250.cxpolicy   hazard 15: a motor is above 90% of its limit on 47% of frames
  stand8.002250.cxpolicy   hazard 15: a motor's MEAN command is 74% of its limit
  stand8.002300.cxpolicy   hazard 15: a motor is above 90% of its limit on 47% of frames
  stand8.002300.cxpolicy   hazard 15: a motor's MEAN command is 74% of its limit
  stand8.002350.cxpolicy   hazard 15: a motor is above 90% of its limit on 44% of frames
  stand8.002350.cxpolicy   hazard 15: a motor's MEAN command is 74% of its limit
  stand8.002400.cxpolicy   hazard 15: a motor is above 90% of its limit on 39% of frames
  stand8.002400.cxpolicy   hazard 15: a motor's MEAN command is 74% of its limit
  stand8.002450.cxpolicy   hazard 15: a motor is above 90% of its limit on 44% of frames
  stand8.002450.cxpolicy   hazard 15: a motor's MEAN command is 74% of its limit
  stand8.cxpolicy          hazard 15: a motor is above 90% of its limit on 43% of frames
  stand8.cxpolicy          hazard 15: a motor's MEAN command is 71% of its limit

selection, by measured survival (ADR-099 — not by the trainer's scalar)
  best by survival       stand8.001700.cxpolicy   iteration   1699  survival 58%  steps 401.2
  longest episodes       stand8.001700.cxpolicy   iteration   1699  survival 58%  steps 401.2
  best measured reward   stand8.000450.cxpolicy   iteration    449  survival 17%  steps 192.2
  the trainer's own 'best' file was stand8.best.cxpolicy

correlation over the checkpoints played
  survival vs iteration            r = 0.827
  survival vs measured reward/step r = -0.3193
  survival vs TRAINER reward/step  r = 0.0594   ← ADR-099's claim, on this run (n = 51)
  (n = 51 checkpoints)
  from the trainer's peak (iteration 598) onward, n = 40 — the only span a stopping rule acts on:
    survival vs TRAINER reward/step  r = -0.3402
    survival vs iteration            r = 0.8156
